code_dep,inscrits
01,440749
02,374307
03,250522
04,128626
05,113927
06,783287
07,256727
08,186882
09,119503
10,206387
11,280915
12,219811
13,1419925
14,514880
15,115963
16,258371
17,521007
18,224526
19,185576
21,368527
22,473187
23,91036
24,319282
25,370175
26,384009
27,433756
28,304838
29,712124
2A,114095
2B,129434
30,557322
31,937879
32,147657
33,1165406
34,852590
35,775521
36,166144
37,442249
38,889988
39,191222
40,331085
41,245112
42,516560
43,181075
44,1061096
45,459476
46,139533
47,242127
48,59909
49,591607
50,384799
51,382287
52,129445
53,152780
54,494028
55,135159
56,611207
57,747918
58,154432
59,1820567
60,565770
61,205739
62,1096112
63,469996
64,521924
65,177801
66,363348
67,784532
68,533583
69,1192744
70,178121
71,404108
72,412114
73,322278
74,569620
75,1144343
76,882863
77,905108
78,965215
79,274118
80,411099
81,299176
82,189348
83,824923
84,413316
85,552911
86,307002
87,264544
88,278565
89,238983
90,94246
91,804779
92,1004370
93,720090
94,802902
95,738073
971,316354
972,304555
973,103592
974,678140
ZM,92733
ZN,219154
ZP,206351
ZS,5049
ZW,9580
ZX,24567
ZZ,1447026
